route_code,route_name,route_type,start_hour,trips_total,trips_completed,trips_canceled,avg_trip_duration_sec,avg_distance_m,avg_fare_amount
B016,Bus Line 16,bus,2025-12-08 21:00:00,7,6,0,1491.43,7443.29,2.69
B017,Bus Line 17,bus,2025-12-08 21:00:00,3,3,0,1060.0,8038.0,21.4
B018,Bus Line 18,bus,2025-12-08 21:00:00,4,4,0,2535.0,6317.5,2.85
B024,Bus Line 24,bus,2025-12-08 21:00:00,3,2,0,2040.0,6800.33,6.6
B029,Bus Line 29,bus,2025-12-08 21:00:00,7,5,0,1345.71,5395.57,21.31
B030,Bus Line 30,bus,2025-12-08 21:00:00,2,2,0,1590.0,5441.0,5.75
B031,Bus Line 31,bus,2025-12-08 21:00:00,1,1,0,1680.0,2436.0,2.44
B037,Bus Line 37,bus,2025-12-08 21:00:00,2,2,0,2250.0,6576.0,6.33
M001,Metro Line 1,metro,2025-12-08 21:00:00,5,5,0,1752.0,6914.8,2.78
M003,Metro Line 3,metro,2025-12-08 21:00:00,3,2,0,2120.0,5418.33,2.6
M004,Metro Line 4,metro,2025-12-08 21:00:00,5,4,0,1752.0,5375.8,2.71
M005,Metro Line 5,metro,2025-12-08 21:00:00,8,7,0,1567.5,5459.5,2.51
M009,Metro Line 9,metro,2025-12-08 21:00:00,3,3,0,1640.0,8211.33,2.39
M010,Metro Line 10,metro,2025-12-08 21:00:00,4,4,0,1650.0,7663.5,20.35
M011,Metro Line 11,metro,2025-12-08 21:00:00,8,8,0,1485.0,7162.62,23.23
M013,Metro Line 13,metro,2025-12-08 21:00:00,8,7,0,1620.0,9180.5,6.57
M015,Metro Line 15,metro,2025-12-08 21:00:00,8,4,0,1530.0,7718.25,6.4
M021,Metro Line 21,metro,2025-12-08 21:00:00,2,2,0,1950.0,7217.0,5.68
M022,Metro Line 22,metro,2025-12-08 21:00:00,3,3,0,2120.0,7496.0,6.29
M023,Metro Line 23,metro,2025-12-08 21:00:00,1,1,0,2700.0,12350.0,2.69
M025,Metro Line 25,metro,2025-12-08 21:00:00,2,2,0,1770.0,5265.5,2.36
M026,Metro Line 26,metro,2025-12-08 21:00:00,1,1,0,780.0,8937.0,2.5
M027,Metro Line 27,metro,2025-12-08 21:00:00,6,6,0,1650.0,7750.0,23.57
M028,Metro Line 28,metro,2025-12-08 21:00:00,6,5,0,900.0,5424.83,20.93
M033,Metro Line 33,metro,2025-12-08 21:00:00,4,4,0,1485.0,5296.0,2.58
M034,Metro Line 34,metro,2025-12-08 21:00:00,4,4,0,1755.0,5900.75,22.45
M036,Metro Line 36,metro,2025-12-08 21:00:00,1,1,0,2400.0,4665.0,3.31
M040,Metro Line 40,metro,2025-12-08 21:00:00,5,5,0,924.0,9762.0,6.91
T002,Tram Line 2,tram,2025-12-08 21:00:00,1,1,0,1260.0,4865.0,2.99
T007,Tram Line 7,tram,2025-12-08 21:00:00,3,1,0,2140.0,4860.67,2.52
T012,Tram Line 12,tram,2025-12-08 21:00:00,4,4,0,1275.0,9245.5,22.66
T019,Tram Line 19,tram,2025-12-08 21:00:00,5,4,0,1620.0,7656.2,2.48
T020,Tram Line 20,tram,2025-12-08 21:00:00,3,2,0,1500.0,11619.33,20.58
T032,Tram Line 32,tram,2025-12-08 21:00:00,4,3,0,1170.0,9786.0,6.27
T035,Tram Line 35,tram,2025-12-08 21:00:00,3,3,0,1300.0,5201.0,18.27
T038,Tram Line 38,tram,2025-12-08 21:00:00,3,3,0,1700.0,7690.0,3.01
T039,Tram Line 39,tram,2025-12-08 21:00:00,4,4,0,1740.0,7030.0,21.12
B006,Bus Line 6,bus,2025-12-08 20:00:00,6,5,0,1460.0,8567.67,6.7
B014,Bus Line 14,bus,2025-12-08 20:00:00,3,3,0,1360.0,6158.0,2.77
B016,Bus Line 16,bus,2025-12-08 20:00:00,2,2,0,1800.0,9828.5,2.87
B017,Bus Line 17,bus,2025-12-08 20:00:00,8,7,0,1275.0,6563.88,20.64
B018,Bus Line 18,bus,2025-12-08 20:00:00,2,2,0,2580.0,8054.5,2.91
B024,Bus Line 24,bus,2025-12-08 20:00:00,5,3,0,732.0,10275.0,6.17
B029,Bus Line 29,bus,2025-12-08 20:00:00,4,4,0,1995.0,6563.0,21.07
B030,Bus Line 30,bus,2025-12-08 20:00:00,5,5,0,2004.0,7551.4,6.41
B031,Bus Line 31,bus,2025-12-08 20:00:00,3,3,0,820.0,7342.0,2.98
B037,Bus Line 37,bus,2025-12-08 20:00:00,3,3,0,2340.0,8141.0,6.71
M001,Metro Line 1,metro,2025-12-08 20:00:00,3,1,0,700.0,9985.33,2.72
M003,Metro Line 3,metro,2025-12-08 20:00:00,2,2,0,1320.0,3942.5,2.72
M004,Metro Line 4,metro,2025-12-08 20:00:00,4,4,0,1200.0,5361.0,2.82
M005,Metro Line 5,metro,2025-12-08 20:00:00,5,4,0,1404.0,6253.6,2.65
M008,Metro Line 8,metro,2025-12-08 20:00:00,3,3,0,1560.0,7030.33,2.7
M009,Metro Line 9,metro,2025-12-08 20:00:00,2,2,0,330.0,9686.0,2.72
M010,Metro Line 10,metro,2025-12-08 20:00:00,3,3,0,1240.0,12063.67,23.37
M011,Metro Line 11,metro,2025-12-08 20:00:00,4,4,0,1635.0,7476.75,22.29
M013,Metro Line 13,metro,2025-12-08 20:00:00,3,3,0,1980.0,7526.33,7.47
M015,Metro Line 15,metro,2025-12-08 20:00:00,4,4,0,1140.0,5328.0,6.28
M021,Metro Line 21,metro,2025-12-08 20:00:00,2,2,0,960.0,6193.5,6.76
M022,Metro Line 22,metro,2025-12-08 20:00:00,5,5,0,1164.0,7116.6,6.43
M023,Metro Line 23,metro,2025-12-08 20:00:00,5,5,0,1416.0,5179.8,2.57
M025,Metro Line 25,metro,2025-12-08 20:00:00,2,1,0,1440.0,7792.5,2.97
M026,Metro Line 26,metro,2025-12-08 20:00:00,3,3,0,1440.0,5183.67,2.8
M027,Metro Line 27,metro,2025-12-08 20:00:00,5,5,0,1644.0,9177.4,21.87
M028,Metro Line 28,metro,2025-12-08 20:00:00,9,8,0,1600.0,9105.33,22.2
M033,Metro Line 33,metro,2025-12-08 20:00:00,7,5,0,1328.57,7683.0,2.69
M034,Metro Line 34,metro,2025-12-08 20:00:00,5,5,0,972.0,8410.4,22.33
M036,Metro Line 36,metro,2025-12-08 20:00:00,7,7,0,1697.14,5576.57,2.7
M040,Metro Line 40,metro,2025-12-08 20:00:00,5,4,0,1344.0,7652.4,5.89
T002,Tram Line 2,tram,2025-12-08 20:00:00,4,4,0,1215.0,6219.5,2.77
T007,Tram Line 7,tram,2025-12-08 20:00:00,2,2,0,1290.0,7249.0,2.78
T012,Tram Line 12,tram,2025-12-08 20:00:00,5,5,0,1836.0,8733.2,24.05
T019,Tram Line 19,tram,2025-12-08 20:00:00,3,3,0,900.0,5483.67,2.65
T020,Tram Line 20,tram,2025-12-08 20:00:00,3,3,0,1200.0,5280.67,20.48
T032,Tram Line 32,tram,2025-12-08 20:00:00,7,7,0,1680.0,7881.0,6.48
T035,Tram Line 35,tram,2025-12-08 20:00:00,10,10,0,1260.0,7315.0,20.84
T038,Tram Line 38,tram,2025-12-08 20:00:00,3,2,0,1300.0,6904.0,3.35
T039,Tram Line 39,tram,2025-12-08 20:00:00,2,2,0,1770.0,2476.5,20.95
B006,Bus Line 6,bus,2025-12-08 19:00:00,2,2,0,1170.0,9790.5,5.51
B014,Bus Line 14,bus,2025-12-08 19:00:00,3,2,0,1920.0,8740.67,2.58
B016,Bus Line 16,bus,2025-12-08 19:00:00,4,4,0,1740.0,7335.5,2.64
B017,Bus Line 17,bus,2025-12-08 19:00:00,6,5,0,1320.0,5681.83,23.13
B018,Bus Line 18,bus,2025-12-08 19:00:00,2,2,0,2280.0,5074.0,2.36
B024,Bus Line 24,bus,2025-12-08 19:00:00,7,7,0,1140.0,8116.43,6.9
B029,Bus Line 29,bus,2025-12-08 19:00:00,7,6,0,1440.0,7799.86,21.13
B030,Bus Line 30,bus,2025-12-08 19:00:00,5,5,0,1776.0,6793.6,7.05
B031,Bus Line 31,bus,2025-12-08 19:00:00,2,1,0,1800.0,6225.0,3.23
B037,Bus Line 37,bus,2025-12-08 19:00:00,8,8,0,2062.5,7852.0,6.48
M001,Metro Line 1,metro,2025-12-08 19:00:00,3,2,0,1800.0,7506.67,3.04
M003,Metro Line 3,metro,2025-12-08 19:00:00,4,3,0,1365.0,9235.75,3.2
M004,Metro Line 4,metro,2025-12-08 19:00:00,4,4,0,1335.0,7504.0,2.92
M005,Metro Line 5,metro,2025-12-08 19:00:00,6,6,0,1880.0,6384.5,3.02
M008,Metro Line 8,metro,2025-12-08 19:00:00,4,3,0,1590.0,3923.25,2.75
M009,Metro Line 9,metro,2025-12-08 19:00:00,3,3,0,900.0,7586.33,2.51
M010,Metro Line 10,metro,2025-12-08 19:00:00,9,8,0,1360.0,6877.22,23.08
M011,Metro Line 11,metro,2025-12-08 19:00:00,5,5,0,924.0,8082.0,21.7
M013,Metro Line 13,metro,2025-12-08 19:00:00,6,5,0,1430.0,5219.0,6.43
M015,Metro Line 15,metro,2025-12-08 19:00:00,2,2,0,1470.0,2587.5,6.39
M021,Metro Line 21,metro,2025-12-08 19:00:00,3,2,0,1740.0,8337.0,6.94
M022,Metro Line 22,metro,2025-12-08 19:00:00,4,3,0,1470.0,7298.0,6.34
M023,Metro Line 23,metro,2025-12-08 19:00:00,2,2,0,1170.0,8990.5,2.77
M025,Metro Line 25,metro,2025-12-08 19:00:00,3,3,0,1580.0,4046.67,2.3
M026,Metro Line 26,metro,2025-12-08 19:00:00,7,6,0,1568.57,6828.14,2.64
M027,Metro Line 27,metro,2025-12-08 19:00:00,2,2,0,1200.0,5519.0,23.05
M028,Metro Line 28,metro,2025-12-08 19:00:00,4,4,0,2280.0,9061.5,22.4
M033,Metro Line 33,metro,2025-12-08 19:00:00,3,3,0,1020.0,6209.67,2.64
M034,Metro Line 34,metro,2025-12-08 19:00:00,2,2,0,1950.0,4392.0,24.06
M036,Metro Line 36,metro,2025-12-08 19:00:00,5,5,0,768.0,5917.2,3.12
M040,Metro Line 40,metro,2025-12-08 19:00:00,6,3,0,1410.0,7855.67,6.64
T002,Tram Line 2,tram,2025-12-08 19:00:00,6,5,0,1700.0,7490.0,2.81
T007,Tram Line 7,tram,2025-12-08 19:00:00,6,6,0,1440.0,8827.17,2.72
T012,Tram Line 12,tram,2025-12-08 19:00:00,2,1,0,1350.0,8218.5,21.51
T019,Tram Line 19,tram,2025-12-08 19:00:00,5,5,0,1788.0,6566.4,2.97
T020,Tram Line 20,tram,2025-12-08 19:00:00,3,3,0,1000.0,3791.33,24.2
T032,Tram Line 32,tram,2025-12-08 19:00:00,4,2,0,1680.0,4880.0,6.7
T035,Tram Line 35,tram,2025-12-08 19:00:00,6,5,0,1520.0,7855.67,24.43
T039,Tram Line 39,tram,2025-12-08 19:00:00,5,4,0,2040.0,9113.6,21.31
B006,Bus Line 6,bus,2025-12-08 18:00:00,3,3,0,1680.0,9002.33,6.72
B014,Bus Line 14,bus,2025-12-08 18:00:00,2,2,0,2160.0,4803.0,2.92
B016,Bus Line 16,bus,2025-12-08 18:00:00,3,2,0,1860.0,7848.67,2.86
B017,Bus Line 17,bus,2025-12-08 18:00:00,2,2,0,1020.0,9412.0,20.65
B018,Bus Line 18,bus,2025-12-08 18:00:00,6,6,0,1880.0,5381.0,2.84
B024,Bus Line 24,bus,2025-12-08 18:00:00,3,3,0,1840.0,6861.67,7.6
B029,Bus Line 29,bus,2025-12-08 18:00:00,3,3,0,1280.0,8467.67,22.42
B030,Bus Line 30,bus,2025-12-08 18:00:00,6,6,0,1490.0,8844.5,6.5
B031,Bus Line 31,bus,2025-12-08 18:00:00,5,5,0,1872.0,5326.2,2.66
B037,Bus Line 37,bus,2025-12-08 18:00:00,6,6,0,1450.0,7098.0,6.26
M001,Metro Line 1,metro,2025-12-08 18:00:00,2,2,0,1410.0,8084.0,2.74
M003,Metro Line 3,metro,2025-12-08 18:00:00,4,4,0,1110.0,5723.25,2.47
M004,Metro Line 4,metro,2025-12-08 18:00:00,5,5,0,1716.0,9809.6,2.37
M005,Metro Line 5,metro,2025-12-08 18:00:00,8,7,0,1440.0,9815.5,2.47
M008,Metro Line 8,metro,2025-12-08 18:00:00,4,3,0,1575.0,7797.5,2.78
M009,Metro Line 9,metro,2025-12-08 18:00:00,4,3,0,1935.0,5015.25,2.67
M010,Metro Line 10,metro,2025-12-08 18:00:00,5,5,0,1860.0,7741.0,20.03
M011,Metro Line 11,metro,2025-12-08 18:00:00,6,4,0,1470.0,6992.5,21.81
M013,Metro Line 13,metro,2025-12-08 18:00:00,6,5,0,1520.0,6445.33,6.62
M015,Metro Line 15,metro,2025-12-08 18:00:00,4,3,0,1830.0,5692.0,6.77
M021,Metro Line 21,metro,2025-12-08 18:00:00,2,1,0,1350.0,8315.0,6.51
M022,Metro Line 22,metro,2025-12-08 18:00:00,6,6,0,1510.0,6699.67,5.91
M023,Metro Line 23,metro,2025-12-08 18:00:00,5,5,0,1440.0,8052.2,2.66
M025,Metro Line 25,metro,2025-12-08 18:00:00,7,7,0,1114.29,7234.71,2.91
M026,Metro Line 26,metro,2025-12-08 18:00:00,2,2,0,900.0,7276.0,3.44
M027,Metro Line 27,metro,2025-12-08 18:00:00,3,3,0,1460.0,10210.0,21.53
M028,Metro Line 28,metro,2025-12-08 18:00:00,4,4,0,1515.0,4289.75,23.8
M033,Metro Line 33,metro,2025-12-08 18:00:00,1,1,0,1860.0,14895.0,2.01
M034,Metro Line 34,metro,2025-12-08 18:00:00,6,6,0,1060.0,8910.5,23.35
M036,Metro Line 36,metro,2025-12-08 18:00:00,4,3,0,1080.0,8040.0,3.06
M040,Metro Line 40,metro,2025-12-08 18:00:00,7,5,0,1560.0,7569.57,6.53
T002,Tram Line 2,tram,2025-12-08 18:00:00,3,2,0,1380.0,6283.33,2.49
T007,Tram Line 7,tram,2025-12-08 18:00:00,3,2,0,1080.0,5654.0,2.76
T012,Tram Line 12,tram,2025-12-08 18:00:00,5,5,0,1800.0,5652.8,21.71
T019,Tram Line 19,tram,2025-12-08 18:00:00,4,3,0,1935.0,4409.0,2.64
T020,Tram Line 20,tram,2025-12-08 18:00:00,5,5,0,1584.0,5747.0,24.73
T032,Tram Line 32,tram,2025-12-08 18:00:00,5,4,0,1692.0,8730.0,6.18
T035,Tram Line 35,tram,2025-12-08 18:00:00,9,8,0,1620.0,9039.22,22.27
T038,Tram Line 38,tram,2025-12-08 18:00:00,5,4,0,1404.0,6471.4,3.08
T039,Tram Line 39,tram,2025-12-08 18:00:00,2,2,0,1740.0,5479.5,22.51
B006,Bus Line 6,bus,2025-12-08 17:00:00,1,1,0,1740.0,10395.0,6.36
B014,Bus Line 14,bus,2025-12-08 17:00:00,4,3,0,1485.0,7395.0,2.69
B016,Bus Line 16,bus,2025-12-08 17:00:00,1,1,0,2160.0,3952.0,2.56
B017,Bus Line 17,bus,2025-12-08 17:00:00,6,6,0,1520.0,8353.83,23.77
B018,Bus Line 18,bus,2025-12-08 17:00:00,6,5,0,1830.0,5780.0,2.69
B024,Bus Line 24,bus,2025-12-08 17:00:00,9,7,0,1546.67,7146.89,6.16
B029,Bus Line 29,bus,2025-12-08 17:00:00,5,4,0,1368.0,8290.2,22.94
B030,Bus Line 30,bus,2025-12-08 17:00:00,2,2,0,1470.0,6027.0,7.74
B031,Bus Line 31,bus,2025-12-08 17:00:00,3,3,0,1860.0,3744.0,2.9
B037,Bus Line 37,bus,2025-12-08 17:00:00,4,4,0,2130.0,9479.75,5.48
M001,Metro Line 1,metro,2025-12-08 17:00:00,7,6,0,1045.71,10412.57,2.7
M003,Metro Line 3,metro,2025-12-08 17:00:00,3,3,0,1680.0,7392.33,2.64
M004,Metro Line 4,metro,2025-12-08 17:00:00,2,2,0,1290.0,9261.0,2.91
M005,Metro Line 5,metro,2025-12-08 17:00:00,1,1,0,2160.0,10967.0,2.09
M008,Metro Line 8,metro,2025-12-08 17:00:00,5,4,0,1008.0,7619.6,2.78
M009,Metro Line 9,metro,2025-12-08 17:00:00,3,3,0,1180.0,4077.33,2.8
M010,Metro Line 10,metro,2025-12-08 17:00:00,4,4,0,1515.0,4504.5,23.49
M011,Metro Line 11,metro,2025-12-08 17:00:00,6,5,0,1330.0,5838.67,19.54
M013,Metro Line 13,metro,2025-12-08 17:00:00,2,2,0,1470.0,4424.0,7.8
M015,Metro Line 15,metro,2025-12-08 17:00:00,6,4,0,1690.0,8228.5,5.65
M021,Metro Line 21,metro,2025-12-08 17:00:00,3,3,0,1680.0,7478.0,6.52
M022,Metro Line 22,metro,2025-12-08 17:00:00,2,1,0,1500.0,10996.0,6.07
M023,Metro Line 23,metro,2025-12-08 17:00:00,5,4,0,1068.0,7251.8,2.85
M025,Metro Line 25,metro,2025-12-08 17:00:00,2,2,0,2100.0,6923.5,3.39
M026,Metro Line 26,metro,2025-12-08 17:00:00,3,3,0,2180.0,7335.67,3.0
M027,Metro Line 27,metro,2025-12-08 17:00:00,4,2,0,1095.0,7477.25,22.47
M028,Metro Line 28,metro,2025-12-08 17:00:00,4,4,0,1530.0,8191.0,20.81
M033,Metro Line 33,metro,2025-12-08 17:00:00,3,2,0,2140.0,8963.33,2.89
M034,Metro Line 34,metro,2025-12-08 17:00:00,1,1,0,420.0,12285.0,27.17
M036,Metro Line 36,metro,2025-12-08 17:00:00,3,3,0,1520.0,3738.67,2.84
M040,Metro Line 40,metro,2025-12-08 17:00:00,3,3,0,1120.0,8047.33,6.66
T002,Tram Line 2,tram,2025-12-08 17:00:00,4,4,0,1425.0,10593.25,2.81
T007,Tram Line 7,tram,2025-12-08 17:00:00,7,4,0,1354.29,5970.71,2.72
T012,Tram Line 12,tram,2025-12-08 17:00:00,7,6,0,1697.14,8580.86,18.1
T019,Tram Line 19,tram,2025-12-08 17:00:00,3,3,0,1800.0,4675.33,2.48
T020,Tram Line 20,tram,2025-12-08 17:00:00,4,4,0,1095.0,5493.25,19.81
T032,Tram Line 32,tram,2025-12-08 17:00:00,3,3,0,1360.0,7021.67,6.97
T035,Tram Line 35,tram,2025-12-08 17:00:00,2,1,0,900.0,9205.0,21.99
T038,Tram Line 38,tram,2025-12-08 17:00:00,2,2,0,420.0,8677.0,2.72
T039,Tram Line 39,tram,2025-12-08 17:00:00,7,6,0,1585.71,6128.57,21.45
B006,Bus Line 6,bus,2025-12-08 16:00:00,5,5,0,1704.0,4329.2,6.04
B014,Bus Line 14,bus,2025-12-08 16:00:00,3,3,0,1100.0,3704.67,2.35
B016,Bus Line 16,bus,2025-12-08 16:00:00,1,1,0,2160.0,5526.0,3.41
B017,Bus Line 17,bus,2025-12-08 16:00:00,4,3,0,1455.0,9234.75,22.57
B018,Bus Line 18,bus,2025-12-08 16:00:00,1,1,0,1980.0,6320.0,2.03
B024,Bus Line 24,bus,2025-12-08 16:00:00,2,2,0,1110.0,8969.0,7.71
B029,Bus Line 29,bus,2025-12-08 16:00:00,4,4,0,1560.0,5347.0,20.07
B030,Bus Line 30,bus,2025-12-08 16:00:00,5,4,0,900.0,6024.8,6.26
B031,Bus Line 31,bus,2025-12-08 16:00:00,2,2,0,1620.0,8017.0,3.08
B037,Bus Line 37,bus,2025-12-08 16:00:00,3,3,0,2020.0,3714.67,7.14
M001,Metro Line 1,metro,2025-12-08 16:00:00,5,4,0,1980.0,7213.8,2.79
M004,Metro Line 4,metro,2025-12-08 16:00:00,3,3,0,2220.0,4691.0,2.92
M005,Metro Line 5,metro,2025-12-08 16:00:00,9,6,0,1533.33,7257.33,2.67
M008,Metro Line 8,metro,2025-12-08 16:00:00,3,3,0,1120.0,5804.67,2.6
M009,Metro Line 9,metro,2025-12-08 16:00:00,6,5,0,1240.0,8410.0,2.6
M010,Metro Line 10,metro,2025-12-08 16:00:00,2,1,0,1830.0,11298.0,23.54
M011,Metro Line 11,metro,2025-12-08 16:00:00,6,6,0,1750.0,8890.33,25.13
M013,Metro Line 13,metro,2025-12-08 16:00:00,5,5,0,1968.0,8338.2,5.95
M015,Metro Line 15,metro,2025-12-08 16:00:00,6,5,0,1090.0,7072.0,6.65
M021,Metro Line 21,metro,2025-12-08 16:00:00,6,4,0,1220.0,6514.33,6.81
M022,Metro Line 22,metro,2025-12-08 16:00:00,1,1,0,1020.0,9243.0,7.29
M023,Metro Line 23,metro,2025-12-08 16:00:00,4,3,0,1560.0,6241.0,2.72
M025,Metro Line 25,metro,2025-12-08 16:00:00,5,5,0,1332.0,6700.6,2.55
M026,Metro Line 26,metro,2025-12-08 16:00:00,7,7,0,1440.0,7444.14,2.6
M027,Metro Line 27,metro,2025-12-08 16:00:00,3,3,0,1000.0,7632.33,23.41
M028,Metro Line 28,metro,2025-12-08 16:00:00,3,3,0,1060.0,5261.67,23.0
M033,Metro Line 33,metro,2025-12-08 16:00:00,4,4,0,1425.0,4836.25,2.53
M034,Metro Line 34,metro,2025-12-08 16:00:00,3,3,0,1500.0,6490.67,21.17
M036,Metro Line 36,metro,2025-12-08 16:00:00,5,4,0,1392.0,6555.4,2.85
M040,Metro Line 40,metro,2025-12-08 16:00:00,3,3,0,1520.0,9718.33,7.26
T002,Tram Line 2,tram,2025-12-08 16:00:00,3,2,0,980.0,7580.33,2.97
T007,Tram Line 7,tram,2025-12-08 16:00:00,4,4,0,1755.0,7677.25,2.91
T012,Tram Line 12,tram,2025-12-08 16:00:00,6,6,0,1310.0,7217.0,21.5
T019,Tram Line 19,tram,2025-12-08 16:00:00,8,6,0,1087.5,7231.88,2.34
T020,Tram Line 20,tram,2025-12-08 16:00:00,10,9,0,1656.0,7294.1,21.34
T032,Tram Line 32,tram,2025-12-08 16:00:00,1,1,0,2640.0,12390.0,7.98
T035,Tram Line 35,tram,2025-12-08 16:00:00,2,2,0,1740.0,4834.5,23.56
T038,Tram Line 38,tram,2025-12-08 16:00:00,3,2,0,2240.0,7828.33,2.54
T039,Tram Line 39,tram,2025-12-08 16:00:00,7,6,0,2074.29,6607.43,20.59
B006,Bus Line 6,bus,2025-12-08 15:00:00,3,3,0,680.0,5656.0,7.39
B014,Bus Line 14,bus,2025-12-08 15:00:00,4,4,0,1785.0,8673.75,2.46
B016,Bus Line 16,bus,2025-12-08 15:00:00,5,5,0,1284.0,5546.0,2.82
B017,Bus Line 17,bus,2025-12-08 15:00:00,6,5,0,1420.0,6551.17,23.6
B018,Bus Line 18,bus,2025-12-08 15:00:00,2,2,0,2130.0,9584.0,2.51
B024,Bus Line 24,bus,2025-12-08 15:00:00,5,4,0,1512.0,7122.8,6.55
B029,Bus Line 29,bus,2025-12-08 15:00:00,4,4,0,1215.0,6668.25,20.09
B030,Bus Line 30,bus,2025-12-08 15:00:00,2,1,0,1740.0,9208.5,6.8
B031,Bus Line 31,bus,2025-12-08 15:00:00,2,2,0,1590.0,6544.0,3.44
B037,Bus Line 37,bus,2025-12-08 15:00:00,7,7,0,1362.86,5117.0,6.54
M001,Metro Line 1,metro,2025-12-08 15:00:00,4,3,0,1410.0,3692.75,2.8
M003,Metro Line 3,metro,2025-12-08 15:00:00,5,5,0,1104.0,8766.6,2.94
M004,Metro Line 4,metro,2025-12-08 15:00:00,2,2,0,1200.0,6391.5,2.91
M005,Metro Line 5,metro,2025-12-08 15:00:00,5,4,0,792.0,7511.8,2.14
M008,Metro Line 8,metro,2025-12-08 15:00:00,3,3,0,840.0,10698.33,2.75
M009,Metro Line 9,metro,2025-12-08 15:00:00,9,9,0,1560.0,8214.33,2.83
M010,Metro Line 10,metro,2025-12-08 15:00:00,6,6,0,1890.0,7932.33,22.42
M011,Metro Line 11,metro,2025-12-08 15:00:00,7,6,0,1320.0,7320.86,22.54
